Monster,Number,AC,MV,HD,Lair%,Treas,Atk,Dam,Align,Type,EHD,HDD,Env,Source,Special
Android,1d8,9,12,2,15,A,1,1d6,N,B,4,2,D,DD,Spells (2)
"Ant, giant",2d6,3,18,2,10,C,1,1d6,N,A,2,2,D,DD,Burrow (3)
Ape,1d8,6,12,4+1,-,-,1,1d6+1,N,A,3,4.3,D,DD,Climb (12)
Basilisk,1d6,4,6,6+1,40,F,1,1d6,N,B,20,6.3,D,DD,"PetrifyingGaze, Petrification"
"Bats, giant",1-8,7,3/15,4,15,C,,,,,,,,DD,
Bears,1-6,6,12,5+5,n/a,n/a,,,,,,,,DD,
"Beetles, giant",1-12,3,9/6,2-7,n/a,n/a,,,,,,,,DD,
Black pudding,1,7,3,10,n/a,n/a,,,,,,,,DD,
Boars,1-12,7,15,1+2,n/a,n/a,,,,,,,,DD,
"Boars, giant",1-8,6,12,7,n/a,n/a,,,,,,,,DD,
Cave bears,1-2,6,12,6+6,n/a,n/a,,,,,,,,DD,
Cavemen,2-12,9,12,2,15,C,,,,,,,,DD,
Centaurs,2-8,6,18,4,5,A1,,,,,,,,DD,
"Centipedes, giant",1-6,3/7,12,3+1,60,B,,,,,,,,DD,
"Centipedes, large",2-24,9,6,½,n/a,n/a,,,,,,,,DD,
Chimeras,1-4,4,12/18,9,50,F,,,,,,,,DD,
Cockatrices,1-8,6,9/18,5,35,D,,,,,,,,DD,
"Crabs, giant",3-12,3,6,3,n/a,n/a,,,,,,,,DD,
Crocodiles,2-12,6,9/15,3,20,n/a,,,,,,,,DD,
"Crocodiles, giant",1-6,5,9/15,7,20,n/a,,,,,,,,DD,
Cyborgs,2-8,5,9,3+3,15,G,,,,,,,,DD,
Cyclopes,1-4,2,15,16,30,E*,,,,,,,,DD,
"Dinosaur, Brontosaurs",1-6,5,6,32,n/a,n/a,,,,,,,,DD,
"Dinosaur, Mosasaur",1-4,5,3/15,14,n/a,n/a,,,,,,,,DD,
"Dinosaur, Pterodactyls",1-8,5,3/12,2-7,n/a,n/a,,,,,,,,DD,
"Dinosaur, Stegosaurs",2-8,2/5,6,8,n/a,n/a,,,,,,,,DD,
"Dinosaur, Triceratops",2-8,2/5,9,16,n/a,n/a,,,,,,,,DD,
"Dinosaur, Tyrannosaurus Rexes",1-2,5,15,20,n/a,n/a,,,,,,,,DD,
"Dinosaur, Deinonychus",1-6,5,21,4,n/a,n/a,,,,,,,,DD,
Djinni,1,6,9/24,7+1,n/a,n/a,,,,,,,,DD,
Dogs,4-16,7,15,1,n/a,n/a,,,,,,,,DD,
Doppelgangers,1-6,5,9,4,25,E,,,,,,,,DD,
Dragon turtles,1-4,2,3/9,12,60,H,,,,,,,,DD,
"Dragon, Black",1-4,5-2,Various,2-12,60,H*,,,,,,,,DD,
"Dragon, Blue",1-4,5-2,Various,2+2-14,60,H*,,,,,,,,DD,
"Dragon, Golden",1-4,5-2,Various,2−1-16,60,H*,,,,,,,,DD,
"Dragon, Green",1-4,5-2,Various,2+1-13,60,H*,,,,,,,,DD,
"Dragon, Red",1-4,5-2,Various,2+3-15,60,H*,,,,,,,,DD,
